percentile, value_usd
p100,211881.7269
p99,412.3730703
p98,213.2351417
p97,139.7531551
p96,103.6818923
p95,80.9291934
p94,65.47764515
p93,55.36345128
p92,47.37524425
p91,41.41187018
p90,36.40003164
p89,32.40409749
p88,29.07695032
p87,26.23704875
p86,23.87966929
p85,21.91036634
p84,20.21443763
p83,18.65406477
p82,17.25409182
p81,16.02570705
p80,14.94123323
p79,13.93267581
p78,13.05033085
p77,12.23509763
p76,11.54455264
p75,10.88978911
p74,10.29276508
p73,9.745539356
p72,9.237854981
p71,8.760290861
p70,8.315958283
p69,7.886808137
p68,7.479720693
p67,7.114013712
p66,6.761278076
p65,6.426908158
p64,6.124946515
p63,5.834426129
p62,5.573494295
p61,5.334660695
p60,5.093712444
p59,4.867506311
p58,4.652198024
p57,4.453464772
p56,4.264941892
p55,4.090243507
p54,3.9188275
p53,3.750351945
p52,3.591467224
p51,3.440522987
p50,3.296366327
p49,3.152887792
p48,3.018828057
p47,2.893212992
p46,2.772584319
p45,2.656532977
p44,2.541444274
p43,2.43465109
p42,2.33328509
p41,2.239137376
p40,2.143067285
p39,2.057633615
p38,1.973398163
p37,1.892709039
p36,1.816059169
p35,1.73978503
p34,1.666807345
p33,1.595178639
p32,1.524209226
p31,1.457016545
p30,1.389662534
p29,1.32493253
p28,1.261413145
p27,1.203045422
p26,1.145281221
p25,1.087760804
p24,1.032285091
p23,0.9783268299
p22,0.9260517456
p21,0.8770635013
p20,0.8283035741
p19,0.7799040769
p18,0.7337574499
p17,0.6871306639
p16,0.6622027201
p15,0.6493143194
p14,0.6267137906
p13,0.5813354452
p12,0.538992187
p11,0.4949902094
p10,0.4543242406
p9,0.4148759779
p8,0.3732406277
p7,0.3348740075
p6,0.2948586497
p5,0.2553100745
p4,0.2153347594
p3,0.1714365889
p2,0.1229368912
p1,0.06183306495
p0,2.737113467e-13
